period,category,segment,metric,value,unit,direction,source
2020-01,Operations,Global,OEE (%),83.56,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-11,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-12,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-04,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-05,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-07,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-08,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-09,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-10,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-11,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-12,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-04,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-05,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-07,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-08,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-09,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-10,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-11,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-12,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-01,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-02,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-03,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-04,Operations,Global,First Pass Yield (%),89.94,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-05,Operations,Global,First Pass Yield (%),86.68,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-06,Operations,Global,First Pass Yield (%),83.41,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-07,Operations,Global,First Pass Yield (%),80.15,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-08,Operations,Global,First Pass Yield (%),76.89,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-09,Operations,Global,First Pass Yield (%),73.63,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-10,Operations,Global,First Pass Yield (%),75.8,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-11,Operations,Global,First Pass Yield (%),77.98,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-12,Operations,Global,First Pass Yield (%),80.15,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-01,Operations,Global,First Pass Yield (%),82.33,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-02,Operations,Global,First Pass Yield (%),84.5,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-03,Operations,Global,First Pass Yield (%),86.68,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-04,Operations,Global,First Pass Yield (%),88.85,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-05,Operations,Global,First Pass Yield (%),91.03,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-06,Operations,Global,First Pass Yield (%),93.2,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-07,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-08,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-09,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-10,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-11,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2025-12,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-01,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-02,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-03,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-04,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-05,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2026-06,Operations,Global,MTBF (Hours),1420.0,Hours,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-01,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-02,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-03,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-04,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-05,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-06,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-07,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-08,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-09,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-10,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-11,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2020-12,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-01,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-02,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-03,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-04,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-05,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-06,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-07,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-08,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-09,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-10,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-11,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2021-12,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-01,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-02,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-03,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-04,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-05,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-06,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-07,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-08,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-09,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-10,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-11,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2022-12,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-01,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-02,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-03,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-04,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-05,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-06,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-07,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-08,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-09,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-10,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-11,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2023-12,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-01,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-02,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-03,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-04,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-05,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-06,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-07,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-08,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-09,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
2024-10,Operations,Global,Cycle Time Efficiency (%),94.1,%,up,Six Sigma Industry Standards 2024; OSHA Safety Data 2024; ISM Manufacturing PMI 2024
