period,category,segment,metric,value,unit,direction,source
2020-01,ESG,Global,Carbon Footprint tCO2e (metric tons),1886.0,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-08,ESG,Global,Board Diversity Ratio (%),23.78,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-09,ESG,Global,Board Diversity Ratio (%),24.67,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-10,ESG,Global,Board Diversity Ratio (%),25.56,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-11,ESG,Global,Board Diversity Ratio (%),26.44,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-12,ESG,Global,Board Diversity Ratio (%),27.33,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-01,ESG,Global,Board Diversity Ratio (%),28.22,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-02,ESG,Global,Board Diversity Ratio (%),29.11,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-03,ESG,Global,Board Diversity Ratio (%),30.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-04,ESG,Global,Board Diversity Ratio (%),30.89,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-05,ESG,Global,Board Diversity Ratio (%),31.78,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-06,ESG,Global,Board Diversity Ratio (%),32.67,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-07,ESG,Global,Board Diversity Ratio (%),33.56,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-08,ESG,Global,Board Diversity Ratio (%),34.44,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-09,ESG,Global,Board Diversity Ratio (%),35.33,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-10,ESG,Global,Board Diversity Ratio (%),36.22,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-11,ESG,Global,Board Diversity Ratio (%),37.11,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-12,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-01,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-02,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-03,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-04,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-05,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-06,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-07,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-08,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-09,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-10,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-11,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-12,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-01,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-02,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-03,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-04,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-05,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-06,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-07,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-08,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-09,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-10,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-11,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-12,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-01,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-02,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-03,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-04,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-05,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-06,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-07,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-08,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-09,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-10,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-11,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-12,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-01,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-02,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-03,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-04,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-05,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-06,ESG,Global,Board Diversity Ratio (%),38.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-01,ESG,Global,Audit Compliance Score (%),97.31,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-02,ESG,Global,Audit Compliance Score (%),96.82,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-03,ESG,Global,Audit Compliance Score (%),96.33,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-04,ESG,Global,Audit Compliance Score (%),95.84,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-05,ESG,Global,Audit Compliance Score (%),95.36,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-06,ESG,Global,Audit Compliance Score (%),94.87,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-07,ESG,Global,Audit Compliance Score (%),94.38,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-08,ESG,Global,Audit Compliance Score (%),93.89,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-09,ESG,Global,Audit Compliance Score (%),93.4,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-10,ESG,Global,Audit Compliance Score (%),92.91,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-11,ESG,Global,Audit Compliance Score (%),92.42,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-12,ESG,Global,Audit Compliance Score (%),91.93,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-01,ESG,Global,Audit Compliance Score (%),91.44,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-02,ESG,Global,Audit Compliance Score (%),90.96,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-03,ESG,Global,Audit Compliance Score (%),90.47,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-04,ESG,Global,Audit Compliance Score (%),89.98,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-05,ESG,Global,Audit Compliance Score (%),89.49,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-06,ESG,Global,Audit Compliance Score (%),89.0,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-07,ESG,Global,Audit Compliance Score (%),89.49,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-08,ESG,Global,Audit Compliance Score (%),89.98,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-09,ESG,Global,Audit Compliance Score (%),90.47,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-10,ESG,Global,Audit Compliance Score (%),90.96,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-11,ESG,Global,Audit Compliance Score (%),91.44,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-12,ESG,Global,Audit Compliance Score (%),91.93,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-01,ESG,Global,Audit Compliance Score (%),92.42,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-02,ESG,Global,Audit Compliance Score (%),92.91,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-03,ESG,Global,Audit Compliance Score (%),93.4,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-04,ESG,Global,Audit Compliance Score (%),93.89,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-05,ESG,Global,Audit Compliance Score (%),94.38,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-06,ESG,Global,Audit Compliance Score (%),94.87,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-07,ESG,Global,Audit Compliance Score (%),95.36,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-08,ESG,Global,Audit Compliance Score (%),95.84,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-09,ESG,Global,Audit Compliance Score (%),96.33,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-10,ESG,Global,Audit Compliance Score (%),96.82,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-11,ESG,Global,Audit Compliance Score (%),97.31,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-12,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-01,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-02,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-03,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-04,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-05,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-06,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-07,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-08,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-09,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-10,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-11,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-12,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-01,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-02,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-03,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-04,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-05,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-06,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-07,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-08,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-09,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-10,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-11,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-12,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-01,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-02,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-03,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-04,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-05,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-06,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-07,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-08,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-09,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-10,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-11,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2025-12,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-01,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-02,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-03,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-04,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-05,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2026-06,ESG,Global,Audit Compliance Score (%),97.8,%,up,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-01,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-02,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-03,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-04,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-05,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-06,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-07,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-08,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-09,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-10,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-11,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-12,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-01,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-02,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-03,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-04,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-05,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-06,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-07,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-08,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-09,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-10,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-11,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-12,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-01,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-02,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-03,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-04,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-05,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-06,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-07,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-08,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-09,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-10,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-11,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2022-12,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-01,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-02,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-03,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-04,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-05,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-06,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-07,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-08,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-09,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-10,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-11,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2023-12,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-01,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-02,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2024-03,ESG,Global,Privacy Incident Count (Count),0.0,Count,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
