period,category,segment,metric,value,unit,direction,source
2020-01,Logistics,Global,On Time Delivery (%),93.42,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-03,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-04,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-05,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-06,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-07,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-08,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-09,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-10,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-11,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-12,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-01,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-02,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-03,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-04,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-05,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-06,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-07,Logistics,Global,Inventory Turnover Ratio,8.18,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-08,Logistics,Global,Inventory Turnover Ratio,7.95,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-09,Logistics,Global,Inventory Turnover Ratio,7.73,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-10,Logistics,Global,Inventory Turnover Ratio,7.5,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-11,Logistics,Global,Inventory Turnover Ratio,7.28,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-12,Logistics,Global,Inventory Turnover Ratio,7.06,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-01,Logistics,Global,Inventory Turnover Ratio,6.83,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-02,Logistics,Global,Inventory Turnover Ratio,6.61,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-03,Logistics,Global,Inventory Turnover Ratio,6.38,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-04,Logistics,Global,Inventory Turnover Ratio,6.16,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-05,Logistics,Global,Inventory Turnover Ratio,5.94,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-06,Logistics,Global,Inventory Turnover Ratio,5.71,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-07,Logistics,Global,Inventory Turnover Ratio,5.49,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-08,Logistics,Global,Inventory Turnover Ratio,5.26,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-09,Logistics,Global,Inventory Turnover Ratio,5.04,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-10,Logistics,Global,Inventory Turnover Ratio,4.82,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-11,Logistics,Global,Inventory Turnover Ratio,4.59,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-12,Logistics,Global,Inventory Turnover Ratio,4.37,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-01,Logistics,Global,Inventory Turnover Ratio,4.82,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-02,Logistics,Global,Inventory Turnover Ratio,5.26,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-03,Logistics,Global,Inventory Turnover Ratio,5.71,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-04,Logistics,Global,Inventory Turnover Ratio,6.16,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-05,Logistics,Global,Inventory Turnover Ratio,6.61,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-06,Logistics,Global,Inventory Turnover Ratio,7.06,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-07,Logistics,Global,Inventory Turnover Ratio,7.5,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-08,Logistics,Global,Inventory Turnover Ratio,7.95,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-09,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-10,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-11,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-12,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-01,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-02,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-03,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-04,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-05,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-06,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-07,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-08,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-09,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-10,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-11,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-12,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-01,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-02,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-03,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-04,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-05,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-06,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-07,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-08,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-09,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-10,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-11,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-12,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-01,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-02,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-03,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-04,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-05,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-06,Logistics,Global,Inventory Turnover Ratio,8.4,Ratio,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2023-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2024-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-07,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-08,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-09,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-10,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-11,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2025-12,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-01,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-02,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-03,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-04,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-05,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2026-06,Logistics,Global,Supplier Defect Rate (%),0.42,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-01,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-02,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-03,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-04,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-05,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-06,Logistics,Global,Carrying Cost of Inventory (%),21.0,%,down,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
