company,sector,domain,metric,value,period,date
CloudSync Pro,SaaS,Operations,efficiency_rate,4.165861396336586,2023-12,2023-12-15T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.101054259412673,2024-01,2024-01-14T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.438157845647113,2024-02,2024-02-13T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.341128463352025,2024-03,2024-03-14T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.20119760634083,2024-04,2024-04-13T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.4565539785187465,2024-05,2024-05-13T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.437518824927041,2024-06,2024-06-12T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.712823932344642,2024-07,2024-07-12T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,3.862787218253822,2024-08,2024-08-11T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.290087144807214,2024-09,2024-09-10T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.058487127571595,2024-10,2024-10-10T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,3.761485121077308,2024-11,2024-11-09T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,3.8642447462513534,2024-12,2024-12-09T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.145970130335785,2025-01,2025-01-08T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.16288194811088,2025-02,2025-02-07T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.613843676838077,2025-03,2025-03-09T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.7234405143731015,2025-04,2025-04-08T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.8327712723450515,2025-05,2025-05-08T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,4.867905156000616,2025-06,2025-06-07T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.51728350588633,2025-07,2025-07-07T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.726479595180888,2025-08,2025-08-06T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.7800348756090365,2025-09,2025-09-05T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.780469840793009,2025-10,2025-10-05T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.948072259582924,2025-11,2025-11-04T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.007458094430282,2025-12,2025-12-04T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.274027652367553,2026-01,2026-01-03T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.242131401723793,2026-02,2026-02-02T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.056289456655921,2026-03,2026-03-04T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.140892497878744,2026-04,2026-04-03T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.309605445519171,2026-05,2026-05-03T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.393978730011827,2026-06,2026-06-02T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.089643944120388,2026-07,2026-07-02T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.081583279088685,2026-08,2026-08-01T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,6.047683377358257,2026-08,2026-08-31T00:00:00
CloudSync Pro,SaaS,Operations,efficiency_rate,5.813241787272009,2026-09,2026-09-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,10.0,2015-01,2015-01-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,1.2083734080999093,2015-01,2015-01-31T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,1.816678779639576,2015-03,2015-03-02T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.12304203795294022,2015-04,2015-04-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-05,2015-05-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-05,2015-05-31T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-06,2015-06-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-07,2015-07-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-08,2015-08-29T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-09,2015-09-28T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-10,2015-10-28T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-11,2015-11-27T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2015-12,2015-12-27T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-01,2016-01-26T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-02,2016-02-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-03,2016-03-26T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-04,2016-04-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-05,2016-05-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-06,2016-06-24T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-07,2016-07-24T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-08,2016-08-23T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-09,2016-09-22T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-10,2016-10-22T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-11,2016-11-21T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2016-12,2016-12-21T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-01,2017-01-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-02,2017-02-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-03,2017-03-21T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-04,2017-04-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-05,2017-05-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-06,2017-06-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-07,2017-07-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-08,2017-08-18T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-09,2017-09-17T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-10,2017-10-17T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-11,2017-11-16T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2017-12,2017-12-16T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-01,2018-01-15T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-02,2018-02-14T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-03,2018-03-16T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-04,2018-04-15T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-05,2018-05-15T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-06,2018-06-14T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-07,2018-07-14T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-08,2018-08-13T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-09,2018-09-12T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-10,2018-10-12T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-11,2018-11-11T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2018-12,2018-12-11T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-01,2019-01-10T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-02,2019-02-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-03,2019-03-11T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-04,2019-04-10T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-05,2019-05-10T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-06,2019-06-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-07,2019-07-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-08,2019-08-08T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-09,2019-09-07T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-10,2019-10-07T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-11,2019-11-06T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2019-12,2019-12-06T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-01,2020-01-05T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-02,2020-02-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-03,2020-03-05T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-04,2020-04-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-05,2020-05-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-06,2020-06-03T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-07,2020-07-03T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-08,2020-08-02T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-09,2020-09-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-10,2020-10-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-10,2020-10-31T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-11,2020-11-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2020-12,2020-12-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-01,2021-01-29T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-02,2021-02-28T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-03,2021-03-30T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-04,2021-04-29T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-05,2021-05-29T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-06,2021-06-28T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-07,2021-07-28T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-08,2021-08-27T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-09,2021-09-26T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-10,2021-10-26T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-11,2021-11-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2021-12,2021-12-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-01,2022-01-24T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-02,2022-02-23T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-03,2022-03-25T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-04,2022-04-24T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-05,2022-05-24T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-06,2022-06-23T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-07,2022-07-23T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-08,2022-08-22T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-09,2022-09-21T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-10,2022-10-21T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-11,2022-11-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2022-12,2022-12-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-01,2023-01-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-02,2023-02-18T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-03,2023-03-20T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-04,2023-04-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-05,2023-05-19T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-06,2023-06-18T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-07,2023-07-18T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-08,2023-08-17T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-09,2023-09-16T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-10,2023-10-16T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-11,2023-11-15T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2023-12,2023-12-15T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-01,2024-01-14T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-02,2024-02-13T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-03,2024-03-14T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-04,2024-04-13T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-05,2024-05-13T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-06,2024-06-12T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-07,2024-07-12T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-08,2024-08-11T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-09,2024-09-10T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-10,2024-10-10T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-11,2024-11-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2024-12,2024-12-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-01,2025-01-08T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-02,2025-02-07T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-03,2025-03-09T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-04,2025-04-08T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-05,2025-05-08T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-06,2025-06-07T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-07,2025-07-07T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-08,2025-08-06T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-09,2025-09-05T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-10,2025-10-05T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-11,2025-11-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2025-12,2025-12-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-01,2026-01-03T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-02,2026-02-02T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-03,2026-03-04T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-04,2026-04-03T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-05,2026-05-03T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-06,2026-06-02T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-07,2026-07-02T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-08,2026-08-01T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-08,2026-08-31T00:00:00
CloudSync Pro,SaaS,Operations,cycle_time_days,0.0,2026-09,2026-09-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.92,2015-01,2015-01-01T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8564843550274522,2015-01,2015-01-31T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8762107422073122,2015-03,2015-03-02T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8776417767159522,2015-04,2015-04-01T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8782926834139214,2015-05,2015-05-01T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8924718493347067,2015-05,2015-05-31T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9393182082889268,2015-06,2015-06-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.6893326655426272,2015-07,2015-07-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9496769342011049,2015-08,2015-08-29T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9572514687636892,2015-09,2015-09-28T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9936330097631311,2015-10,2015-10-28T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9790020183050286,2015-11,2015-11-27T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0180080058906307,2015-12,2015-12-27T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0536079015112658,2016-01,2016-01-26T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0101859658017973,2016-02,2016-02-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0140442715073676,2016-03,2016-03-26T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0234350434275497,2016-04,2016-04-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0535526018908699,2016-05,2016-05-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0275231594949827,2016-06,2016-06-24T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1067645676286784,2016-07,2016-07-24T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.026172979134597,2016-08,2016-08-23T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9762330651172463,2016-09,2016-09-22T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9792937839809255,2016-10,2016-10-22T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9856531511448884,2016-11,2016-11-21T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9878458271338663,2016-12,2016-12-21T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9837586597187502,2017-01,2017-01-20T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9369595032170368,2017-02,2017-02-19T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9213998038146837,2017-03,2017-03-21T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9220358289465403,2017-04,2017-04-20T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9020507942678198,2017-05,2017-05-20T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8760929002325921,2017-06,2017-06-19T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8764514316555889,2017-07,2017-07-19T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8654058156375045,2017-08,2017-08-18T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.8722251380606196,2017-09,2017-09-17T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9375571113956539,2017-10,2017-10-17T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9843586570589503,2017-11,2017-11-16T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,0.9859107640602118,2017-12,2017-12-16T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.092983249778247,2018-01,2018-01-15T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0131034104628618,2018-02,2018-02-14T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.0627091357175928,2018-03,2018-03-16T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2592679881021902,2018-04,2018-04-15T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1142527057599174,2018-05,2018-05-15T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1179596385080752,2018-06,2018-06-14T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.159669035463645,2018-07,2018-07-14T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.253912680544343,2018-08,2018-08-13T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2411410264870226,2018-09,2018-09-12T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.247495476344787,2018-10,2018-10-12T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.255694656774368,2018-11,2018-11-11T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2566292832637707,2018-12,2018-12-11T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.285402804654363,2019-01,2019-01-10T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2494921990468757,2019-02,2019-02-09T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2207724127368043,2019-03,2019-03-11T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2177929402342813,2019-04,2019-04-10T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1859445362226972,2019-05,2019-05-10T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1575857683371489,2019-06,2019-06-09T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1608547365882267,2019-07,2019-07-09T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1852398589438435,2019-08,2019-08-08T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2767636336983044,2019-09,2019-09-07T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1536331479122535,2019-10,2019-10-07T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1592946191666424,2019-11,2019-11-06T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2181468276906127,2019-12,2019-12-06T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2351029766028723,2020-01,2020-01-05T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.302106382955128,2020-02,2020-02-04T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1547543729613934,2020-03,2020-03-05T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1332234916411839,2020-04,2020-04-04T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1610718078782556,2020-05,2020-05-04T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1823343695883852,2020-06,2020-06-03T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2421516266939094,2020-07,2020-07-03T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.216749348446629,2020-08,2020-08-02T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2009493524000026,2020-09,2020-09-01T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2234982402793968,2020-10,2020-10-01T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1818833725315876,2020-10,2020-10-31T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.1984724720768005,2020-11,2020-11-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.2787565083195984,2020-12,2020-12-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.3341912766816704,2021-01,2021-01-29T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.3651196324365382,2021-02,2021-02-28T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.3997285699044513,2021-03,2021-03-30T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.453894181341396,2021-04,2021-04-29T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5082973389704433,2021-05,2021-05-29T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.4557229603735393,2021-06,2021-06-28T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5326903650223362,2021-07,2021-07-28T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5215038004968964,2021-08,2021-08-27T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5285330160283712,2021-09,2021-09-26T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5532631639290588,2021-10,2021-10-26T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5697227727587921,2021-11,2021-11-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.567948523861981,2021-12,2021-12-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5621908557590125,2022-01,2022-01-24T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5810464994389473,2022-02,2022-02-23T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6251872191868622,2022-03,2022-03-25T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6495527095216735,2022-04,2022-04-24T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.5841090288849873,2022-05,2022-05-24T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6335986185053826,2022-06,2022-06-23T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.691739777977511,2022-07,2022-07-23T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6454634194493623,2022-08,2022-08-22T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.70194616887946,2022-09,2022-09-21T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6992864153447678,2022-10,2022-10-21T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.7243940067215435,2022-11,2022-11-20T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.532242310672852,2022-12,2022-12-20T00:00:00
CloudSync Pro,SaaS,Operations,on_time_delivery,1.6796536012038834,2023-01,2023-01-19T00:00:00
